                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67272,                0.42329,                0.85281,                 0.8991,                0.88132,                0.94789,                0.77022,                0.68599,                0.46627,                 0.8989,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.6648,                0.42034,                0.85396,                 0.8928,                0.88759,                0.94834,                0.77092,                0.68735,                0.46422,                0.89883,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.6678,                0.41969,                0.85363,                0.89769,                0.88502,                0.94864,                0.77359,                0.65948,                0.44896,                0.87794,              0.0010729,              0.0010729,              0.0010729
                     39,                0.66249,                0.41564,                 0.8508,                0.89432,                0.88711,                0.94826,                0.77704,                0.67515,                0.44564,                 0.8878,              0.0010564,              0.0010564,              0.0010564
                     40,                0.65999,                0.41418,                0.85199,                0.90541,                0.87819,                0.94923,                0.77479,                0.66886,                0.45016,                 0.8863,              0.0010399,              0.0010399,              0.0010399
                     41,                0.65426,                0.41068,                0.85067,                 0.8979,                0.88901,                0.94906,                0.77828,                0.67202,                0.44812,                0.88848,              0.0010234,              0.0010234,              0.0010234
                     42,                0.65882,                0.40965,                0.85119,                0.90279,                0.88668,                0.95078,                0.78041,                0.67236,                0.45025,                0.88812,              0.0010069,              0.0010069,              0.0010069
                     43,                0.65827,                0.41088,                0.85131,                 0.9007,                0.88697,                0.94854,                 0.7762,                0.67545,                0.44147,                0.89061,             0.00099036,             0.00099036,             0.00099036
                     44,                0.65303,                0.40875,                0.84957,                0.90058,                0.88155,                0.94898,                0.77854,                 0.6812,                0.43901,                0.91555,             0.00097386,             0.00097386,             0.00097386
                     45,                0.65092,                0.40541,                0.84957,                0.90373,                0.88718,                0.95215,                0.78361,                0.67104,                0.44587,                0.88959,             0.00095736,             0.00095736,             0.00095736
                     46,                0.65061,                0.40523,                0.84932,                0.90402,                0.88925,                0.95022,                0.77949,                0.67243,                0.43799,                0.89925,             0.00094085,             0.00094085,             0.00094085
                     47,                0.64496,                0.40232,                0.84796,                0.90207,                0.88905,                0.95026,                0.78239,                 0.6705,                0.43688,                0.89569,             0.00092435,             0.00092435,             0.00092435
                     48,                0.64784,                0.40212,                0.84992,                0.90435,                0.87845,                0.94871,                 0.7787,                0.66522,                0.44035,                0.89278,             0.00090785,             0.00090785,             0.00090785
                     49,                0.64397,                0.39973,                0.84887,                0.91177,                0.88213,                0.95252,                0.78257,                 0.6512,                0.42487,                0.88877,             0.00089134,             0.00089134,             0.00089134
                     50,                0.64077,                0.39818,                0.84847,                0.89398,                0.89754,                0.95179,                0.78232,                0.65718,                0.43969,                0.87615,             0.00087484,             0.00087484,             0.00087484
                     51,                0.63912,                0.39846,                 0.8468,                0.90623,                0.88778,                0.95176,                0.78174,                0.65923,                0.43411,                0.88077,             0.00085834,             0.00085834,             0.00085834
                     52,                0.63831,                0.39389,                0.84596,                0.90243,                0.89137,                0.95197,                0.78462,                0.65482,                0.41943,                0.87602,             0.00084184,             0.00084184,             0.00084184
                     53,                0.63688,                 0.3924,                0.84624,                 0.8988,                0.89169,                0.95029,                0.78192,                0.65402,                0.42311,                 0.8752,             0.00082533,             0.00082533,             0.00082533
                     54,                0.63496,                0.39109,                0.84454,                0.90237,                0.89229,                0.95274,                0.78411,                0.66758,                0.42275,                0.88738,             0.00080883,             0.00080883,             0.00080883
                     55,                0.63374,                 0.3894,                0.84541,                0.90724,                0.88599,                0.95169,                0.78296,                0.66463,                 0.4238,                0.89488,             0.00079233,             0.00079233,             0.00079233
                     56,                0.62908,                0.38657,                0.84456,                0.90801,                0.89089,                0.95205,                0.78622,                0.65273,                0.43161,                0.88217,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.6307,                0.38792,                0.84366,                0.90958,                0.88696,                0.95294,                0.78352,                 0.6696,                0.41721,                0.90179,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.6259,                0.38498,                 0.8441,                0.91098,                0.88413,                0.95224,                0.78843,                0.66195,                0.42592,                0.88266,             0.00074282,             0.00074282,             0.00074282
                     59,                0.62773,                0.38393,                0.84161,                0.90963,                0.88719,                0.95268,                0.78699,                0.66448,                0.41741,                0.88255,             0.00072631,             0.00072631,             0.00072631
                     60,                0.62796,                0.38508,                0.84304,                0.91453,                0.88654,                0.95359,                0.79001,                0.66558,                0.43221,                0.89194,             0.00070981,             0.00070981,             0.00070981
                     61,                0.62321,                0.38104,                0.84308,                0.90623,                0.88968,                0.95329,                0.78837,                0.66218,                0.41195,                0.88431,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.6212,                0.37941,                0.84112,                0.90706,                0.89211,                0.95313,                0.78927,                0.65796,                0.41606,                0.88685,              0.0006768,              0.0006768,              0.0006768
                     63,                0.62039,                0.37914,                0.84211,                0.90682,                0.88794,                0.95293,                0.78898,                0.66681,                0.41689,                0.89444,              0.0006603,              0.0006603,              0.0006603
                     64,                0.61937,                0.37804,                0.84141,                0.91015,                0.88849,                0.95264,                0.78832,                0.65818,                0.42032,                0.89101,              0.0006438,              0.0006438,              0.0006438
                     65,                0.61718,                0.37755,                0.84076,                0.90744,                0.89103,                0.95291,                0.78878,                0.66663,                0.42218,                 0.9067,             0.00062729,             0.00062729,             0.00062729
                     66,                0.61391,                0.37385,                0.83985,                0.90991,                 0.8883,                0.95238,                0.78854,                0.66838,                  0.416,                0.91404,             0.00061079,             0.00061079,             0.00061079
                     67,                0.61545,                0.37492,                0.83974,                0.91596,                0.88379,                0.95249,                0.78845,                0.66979,                0.41179,                0.90026,             0.00059429,             0.00059429,             0.00059429
                     68,                0.61072,                0.36962,                0.83934,                0.90293,                 0.8913,                0.95244,                 0.7891,                0.66873,                0.41337,                0.90451,             0.00057778,             0.00057778,             0.00057778
                     69,                0.61169,                 0.3733,                0.83924,                0.90586,                0.89261,                0.95316,                0.79059,                0.65566,                0.42052,                0.90048,             0.00056128,             0.00056128,             0.00056128
                     70,                0.60594,                0.36852,                0.83832,                0.90313,                0.89853,                0.95398,                0.79226,                0.65592,                0.40651,                0.89987,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.6076,                0.36763,                 0.8372,                0.90581,                0.89258,                0.95293,                0.79101,                 0.6628,                0.41285,                0.89764,             0.00052827,             0.00052827,             0.00052827
                     72,                0.60853,                0.36774,                0.83883,                0.91204,                0.89147,                0.95313,                0.79098,                0.65845,                 0.4083,                0.90303,             0.00051177,             0.00051177,             0.00051177
                     73,                0.60352,                0.36518,                0.83777,                0.91168,                0.89075,                0.95332,                0.79187,                0.66161,                0.41072,                0.90952,             0.00049527,             0.00049527,             0.00049527
                     74,                0.60425,                0.36467,                0.83593,                0.91138,                0.89005,                0.95459,                 0.7933,                0.65464,                0.40009,                0.89202,             0.00047876,             0.00047876,             0.00047876
                     75,                0.59906,                0.36255,                  0.836,                0.91638,                0.88321,                0.95325,                0.79046,                 0.6579,                0.40338,                0.89985,             0.00046226,             0.00046226,             0.00046226
                     76,                 0.5991,                0.36243,                0.83554,                0.91046,                0.89073,                0.95389,                0.79271,                0.66362,                0.41471,                0.90225,             0.00044576,             0.00044576,             0.00044576
