epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.877,1.70803,1.79778,1.9581,0.55236,0.61678,0.60437,0.303,1.72279,1.66173,1.77356,0.000990365,0.000990365,0.000990365
43,205.501,1.69352,1.72894,1.93768,0.56181,0.63548,0.63318,0.34013,1.66375,1.57303,1.73819,0.000973861,0.000973861,0.000973861
44,210.02,1.67138,1.72579,1.9343,0.60603,0.61606,0.65258,0.3324,1.71474,1.50083,1.7629,0.000957358,0.000957358,0.000957358
45,214.655,1.70221,1.72048,1.86448,0.56383,0.59616,0.57579,0.27558,1.76464,1.74212,1.79444,0.000940855,0.000940855,0.000940855
46,219.322,1.60013,1.63994,1.83377,0.73692,0.59242,0.66167,0.36377,1.68549,1.45308,1.70251,0.000924352,0.000924352,0.000924352
47,223.886,1.6167,1.65426,1.8353,0.70761,0.56259,0.65168,0.32174,1.66752,1.55824,1.71532,0.000907848,0.000907848,0.000907848
48,228.456,1.62044,1.60554,1.85517,0.65641,0.57713,0.64567,0.33,1.69282,1.57325,1.73159,0.000891345,0.000891345,0.000891345
49,233.127,1.62049,1.6439,1.82116,0.68034,0.61262,0.6524,0.3465,1.63101,1.54152,1.70521,0.000874842,0.000874842,0.000874842
50,237.617,1.58894,1.60536,1.79232,0.66517,0.62754,0.66872,0.37833,1.57968,1.57176,1.66365,0.000858338,0.000858338,0.000858338
51,242.107,1.5246,1.52312,1.76599,0.69264,0.5933,0.65593,0.33969,1.72961,1.57907,1.76989,0.000841835,0.000841835,0.000841835
52,246.601,1.54201,1.56492,1.77539,0.67028,0.66195,0.68559,0.37354,1.62187,1.45145,1.6575,0.000825332,0.000825332,0.000825332
53,251.134,1.52695,1.55986,1.75337,0.72039,0.69821,0.72393,0.40503,1.62513,1.39765,1.64412,0.000808828,0.000808828,0.000808828
54,255.652,1.52458,1.5692,1.77584,0.62681,0.67463,0.69681,0.37993,1.62754,1.48097,1.65786,0.000792325,0.000792325,0.000792325
55,260.337,1.53698,1.54616,1.72837,0.66908,0.69876,0.74107,0.40099,1.5912,1.44183,1.63662,0.000775822,0.000775822,0.000775822
56,265.362,1.47401,1.4924,1.70961,0.79143,0.65229,0.76208,0.41769,1.60923,1.36943,1.62217,0.000759318,0.000759318,0.000759318
57,270.229,1.49144,1.5092,1.7065,0.76669,0.68259,0.75345,0.38958,1.6005,1.43151,1.62365,0.000742815,0.000742815,0.000742815
58,275.037,1.43373,1.48894,1.6606,0.72311,0.69502,0.78076,0.40947,1.58963,1.34144,1.63828,0.000726312,0.000726312,0.000726312
59,279.765,1.52365,1.50976,1.72235,0.67477,0.65306,0.72036,0.36703,1.63136,1.38822,1.68898,0.000709809,0.000709809,0.000709809
60,284.454,1.48517,1.48902,1.71945,0.71166,0.69764,0.78531,0.42472,1.56607,1.37519,1.62135,0.000693305,0.000693305,0.000693305
61,289.007,1.43971,1.43802,1.65991,0.71361,0.68927,0.76026,0.42951,1.5236,1.35233,1.63363,0.000676802,0.000676802,0.000676802
62,293.626,1.471,1.4553,1.68962,0.73513,0.7044,0.74976,0.3803,1.57723,1.39437,1.62332,0.000660299,0.000660299,0.000660299
63,298.264,1.45985,1.394,1.66522,0.79718,0.68504,0.76758,0.41692,1.52899,1.29946,1.58358,0.000643795,0.000643795,0.000643795
64,303.08,1.43727,1.3823,1.66863,0.74678,0.62795,0.72263,0.3835,1.56397,1.41946,1.62661,0.000627292,0.000627292,0.000627292
65,307.752,1.41683,1.45415,1.637,0.70726,0.62235,0.70879,0.35961,1.63661,1.43532,1.63915,0.000610789,0.000610789,0.000610789
66,312.476,1.39663,1.3763,1.63064,0.70195,0.71136,0.758,0.43408,1.51005,1.37576,1.55655,0.000594286,0.000594286,0.000594286
67,317.156,1.40191,1.33811,1.61005,0.71228,0.6533,0.70972,0.36556,1.58204,1.45895,1.62841,0.000577782,0.000577782,0.000577782
68,321.737,1.38653,1.36948,1.60572,0.80789,0.64191,0.79496,0.43322,1.51438,1.27328,1.58302,0.000561279,0.000561279,0.000561279
69,326.399,1.42184,1.39485,1.64734,0.75059,0.72003,0.78962,0.44221,1.47679,1.28012,1.56112,0.000544776,0.000544776,0.000544776
70,331.026,1.33834,1.30571,1.58151,0.72252,0.69518,0.74387,0.3979,1.53395,1.39586,1.61176,0.000528272,0.000528272,0.000528272
