epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.627,1.638,1.28926,1.67581,0.61948,0.72706,0.70836,0.39294,1.5983,1.37465,1.3771,0.000990365,0.000990365,0.000990365
43,232.037,1.67164,1.36128,1.66125,0.58937,0.70441,0.65938,0.3681,1.55833,1.35568,1.36664,0.000973861,0.000973861,0.000973861
44,237.313,1.63403,1.29692,1.6725,0.56616,0.82352,0.70403,0.3854,1.55776,1.32643,1.40567,0.000957358,0.000957358,0.000957358
45,242.686,1.62877,1.29935,1.70485,0.56147,0.62438,0.616,0.346,1.5321,1.57582,1.35272,0.000940855,0.000940855,0.000940855
46,247.972,1.61298,1.23449,1.63126,0.59704,0.66652,0.66278,0.36445,1.58365,1.27396,1.37764,0.000924352,0.000924352,0.000924352
47,253.232,1.60531,1.24218,1.65277,0.59691,0.79491,0.6754,0.3693,1.56547,1.37843,1.37079,0.000907848,0.000907848,0.000907848
48,258.556,1.58761,1.26317,1.62221,0.56733,0.71971,0.67919,0.36276,1.56699,1.31634,1.36135,0.000891345,0.000891345,0.000891345
49,263.793,1.57382,1.23247,1.66461,0.56585,0.74466,0.69361,0.36813,1.57635,1.36171,1.40305,0.000874842,0.000874842,0.000874842
50,269.102,1.56259,1.24361,1.60812,0.53681,0.6541,0.62104,0.34227,1.57737,1.44975,1.37493,0.000858338,0.000858338,0.000858338
51,274.464,1.55244,1.18822,1.62355,0.59404,0.69204,0.6445,0.3431,1.63602,1.34126,1.43147,0.000841835,0.000841835,0.000841835
52,279.55,1.5719,1.20911,1.64626,0.62482,0.77358,0.66668,0.37831,1.57105,1.28417,1.43339,0.000825332,0.000825332,0.000825332
53,284.754,1.56733,1.19293,1.61594,0.75889,0.75773,0.78801,0.45565,1.47474,1.20885,1.39884,0.000808828,0.000808828,0.000808828
54,290.026,1.54338,1.19785,1.63643,0.60691,0.77238,0.65862,0.36087,1.61169,1.31168,1.40572,0.000792325,0.000792325,0.000792325
55,295.279,1.52444,1.15714,1.59063,0.61334,0.72953,0.64016,0.36334,1.55868,1.34426,1.35754,0.000775822,0.000775822,0.000775822
56,300.559,1.52172,1.14569,1.58229,0.62451,0.80888,0.71159,0.4018,1.53497,1.27248,1.35075,0.000759318,0.000759318,0.000759318
57,305.905,1.5008,1.16895,1.55694,0.68922,0.80476,0.74123,0.44371,1.48882,1.19018,1.3915,0.000742815,0.000742815,0.000742815
58,311.183,1.49717,1.14351,1.57341,0.57625,0.75956,0.62927,0.3606,1.5603,1.42177,1.38414,0.000726312,0.000726312,0.000726312
59,316.441,1.4686,1.1111,1.55799,0.46859,0.65674,0.56148,0.29357,1.64686,1.68594,1.45978,0.000709809,0.000709809,0.000709809
60,321.802,1.51447,1.13486,1.58035,0.69992,0.77389,0.78628,0.46057,1.50965,1.25176,1.37449,0.000693305,0.000693305,0.000693305
61,327.022,1.48823,1.09583,1.55862,0.60233,0.82037,0.70739,0.38704,1.54037,1.3479,1.35402,0.000676802,0.000676802,0.000676802
62,332.22,1.47669,1.10907,1.55296,0.73808,0.78987,0.7913,0.45396,1.53557,1.10945,1.3816,0.000660299,0.000660299,0.000660299
63,337.539,1.42685,1.08623,1.55393,0.75429,0.74902,0.80717,0.47803,1.52365,1.14212,1.38841,0.000643795,0.000643795,0.000643795
64,342.98,1.47429,1.10133,1.53557,0.70025,0.7521,0.73763,0.43157,1.46942,1.18847,1.37442,0.000627292,0.000627292,0.000627292
65,348.3,1.42005,1.02321,1.50894,0.75999,0.75427,0.81138,0.47477,1.48511,1.18915,1.36647,0.000610789,0.000610789,0.000610789
66,353.67,1.46973,1.07397,1.54916,0.5791,0.73898,0.65993,0.38176,1.50927,1.46435,1.3772,0.000594286,0.000594286,0.000594286
67,359.062,1.48036,1.10924,1.55346,0.79538,0.79822,0.87833,0.55656,1.47397,1.16454,1.33713,0.000577782,0.000577782,0.000577782
68,364.22,1.46229,1.09379,1.5338,0.70548,0.7504,0.7663,0.46191,1.49006,1.20043,1.39826,0.000561279,0.000561279,0.000561279
69,369.476,1.46181,1.06889,1.54241,0.76171,0.80382,0.80911,0.48206,1.40965,1.10719,1.32984,0.000544776,0.000544776,0.000544776
70,374.848,1.44659,1.0769,1.5112,0.76935,0.77885,0.82173,0.50229,1.44332,1.13624,1.33948,0.000528272,0.000528272,0.000528272
71,379.962,1.42162,1.0365,1.47871,0.82128,0.82049,0.85931,0.55312,1.43999,1.05771,1.34952,0.000511769,0.000511769,0.000511769
72,385.066,1.41155,1.05027,1.53145,0.78838,0.80082,0.85065,0.54662,1.39585,1.11257,1.34455,0.000495266,0.000495266,0.000495266
73,390.29,1.44125,1.08322,1.52213,0.65857,0.78959,0.72115,0.40119,1.5202,1.26329,1.40127,0.000478762,0.000478762,0.000478762
74,395.625,1.44863,1.08091,1.53111,0.72977,0.81292,0.81077,0.49418,1.43031,1.10945,1.35175,0.000462259,0.000462259,0.000462259
75,400.859,1.44278,1.06617,1.51153,0.67204,0.77358,0.774,0.47722,1.45073,1.25757,1.39214,0.000445756,0.000445756,0.000445756
76,406.111,1.36727,1.02915,1.46881,0.65036,0.71933,0.66199,0.38753,1.46862,1.29456,1.3762,0.000429253,0.000429253,0.000429253
77,411.291,1.40014,1.04774,1.53828,0.81121,0.84487,0.88106,0.55281,1.41284,1.05365,1.33168,0.000412749,0.000412749,0.000412749
78,416.418,1.42283,1.04392,1.50811,0.60073,0.75415,0.68154,0.40123,1.4595,1.25596,1.37652,0.000396246,0.000396246,0.000396246
