驯龙高手,2010,8.8,789810人评价
幸福终点站,2004,8.8,596951人评价
一个叫欧维的男人决定去死,2015,8.9,511956人评价
教父3,1990,9.0,393974人评价
怪兽电力公司,2001,8.8,707789人评价
新世界,2013,8.9,470844人评价
茶馆,1982(中国大陆),9.6,166673人评价
小森林 冬春篇,2015,9.0,393580人评价
玩具总动员3,2010,8.9,544414人评价
傲慢与偏见,2005,8.7,841631人评价
萤火之森,2011,8.9,564875人评价
被解救的姜戈,2012,8.8,636932人评价
釜山行,2016,8.6,1252231人评价
神偷奶爸,2010,8.7,980888人评价
色，戒,2007,8.7,864443人评价
九品芝麻官,1994,8.7,720323人评价
告白,2010,8.8,695449人评价
哪吒闹海,1979,9.2,272608人评价
玛丽和马克思,2009,9.0,432858人评价
喜宴,1993,9.0,385861人评价
大鱼,2003,8.8,589453人评价
模仿游戏,2014,8.8,674800人评价
头号玩家,2018,8.6,1418816人评价
头脑特工队,2015,8.8,651475人评价
花样年华,2000,8.8,644672人评价
射雕英雄传之东成西就,1993,8.7,666920人评价
我是山姆,2001,9.0,351840人评价
七武士,1954,9.3,208560人评价
血战钢锯岭,2016,8.7,809079人评价
阳光姐妹淘,2011,8.8,606191人评价
惊魂记,1960,9.0,315821人评价
恐怖直播,2013,8.7,680511人评价
黑客帝国3：矩阵革命,2003,8.8,464390人评价
你的名字。,2016,8.5,1467100人评价
三块广告牌,2017,8.7,855732人评价
电锯惊魂,2004,8.7,561602人评价
心迷宫,2014,8.8,555341人评价
达拉斯买家俱乐部,2013,8.8,472000人评价
疯狂原始人,2013,8.7,868469人评价
谍影重重3,2007,8.8,435929人评价
小丑,2019,8.7,1051068人评价
英雄本色,1986,8.6,564335人评价
上帝之城,2002,9.0,311545人评价
风之谷,1984,8.9,369152人评价
绿里奇迹,1999,8.9,350963人评价
爱在午夜降临前,2013,8.9,426155人评价
海街日记,2015,8.8,472273人评价
背靠背，脸对脸,1994,9.5,148652人评价
心灵奇旅,2020,8.7,1035024人评价
纵横四海,1991,8.8,444197人评价
卢旺达饭店,2004,8.9,343616人评价
疯狂的石头,2006,8.6,860676人评价
记忆碎片,2000,8.7,627410人评价
无间道2,2003,8.7,510400人评价
雨中曲,1952,9.1,240064人评价
2001太空漫游,1968,8.9,352194人评价
小偷家族,2018,8.7,844008人评价
岁月神偷,2010,8.7,588383人评价
无敌破坏王,2012,8.7,566746人评价
忠犬八公物语,1987,9.2,203986人评价
荒蛮故事,2014,8.8,461815人评价
冰川时代,2002,8.6,641790人评价
爆裂鼓手,2014,8.7,616294人评价
恐怖游轮,2009,8.5,908482人评价
牯岭街少年杀人事件,1991,8.9,323630人评价
东京教父,2003,9.0,250975人评价
魔女宅急便,1989,8.7,483176人评价
大佛普拉斯,2017,8.7,496366人评价
贫民窟的百万富翁,2008,8.6,768484人评价
遗愿清单,2007,8.7,488354人评价
东邪西毒,1994,8.6,597148人评价
你看起来好像很好吃,2010,8.9,347317人评价
可可西里,2004,8.9,316959人评价
末路狂花,1991,8.9,284556人评价
