epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,205.439,1.67631,1.76706,2.00714,0.53257,0.6294,0.62883,0.30779,1.73973,1.63754,1.80136,0.000990365,0.000990365,0.000990365
43,210.258,1.6971,1.74472,2.02562,0.56565,0.69231,0.65283,0.3155,1.76651,1.55797,1.81622,0.000973861,0.000973861,0.000973861
44,215.125,1.6684,1.75328,1.99873,0.56469,0.60177,0.63228,0.29275,1.6478,1.70737,1.73727,0.000957358,0.000957358,0.000957358
45,219.931,1.6249,1.76849,1.98161,0.51833,0.68531,0.59904,0.29651,1.71108,1.58379,1.77441,0.000940855,0.000940855,0.000940855
46,224.8,1.59503,1.72015,1.96089,0.53714,0.55302,0.56851,0.26378,1.674,1.69384,1.75837,0.000924352,0.000924352,0.000924352
47,229.597,1.62706,1.7462,1.98612,0.60372,0.61135,0.63002,0.30551,1.65677,1.64256,1.74845,0.000907848,0.000907848,0.000907848
48,234.326,1.62342,1.73678,1.9509,0.58428,0.69207,0.64667,0.33963,1.61668,1.53561,1.728,0.000891345,0.000891345,0.000891345
49,239.292,1.60031,1.72744,1.94433,0.57413,0.69163,0.66032,0.33452,1.5811,1.58687,1.67948,0.000874842,0.000874842,0.000874842
50,244.202,1.55058,1.63983,1.90618,0.58755,0.68716,0.66859,0.3671,1.57002,1.48188,1.67347,0.000858338,0.000858338,0.000858338
51,249.085,1.53534,1.62271,1.92304,0.61947,0.60023,0.62981,0.28925,1.61344,1.66872,1.68485,0.000841835,0.000841835,0.000841835
52,253.922,1.54664,1.6125,1.90359,0.53444,0.67365,0.62729,0.31855,1.5844,1.59755,1.66318,0.000825332,0.000825332,0.000825332
53,258.7,1.58105,1.63481,1.9438,0.50406,0.72601,0.63977,0.33873,1.56957,1.57262,1.67481,0.000808828,0.000808828,0.000808828
54,263.536,1.50878,1.61238,1.85892,0.66146,0.69274,0.73528,0.37944,1.5255,1.47778,1.62743,0.000792325,0.000792325,0.000792325
55,268.301,1.51844,1.58237,1.89979,0.63572,0.66238,0.68366,0.3917,1.54895,1.4394,1.6519,0.000775822,0.000775822,0.000775822
56,273.295,1.52846,1.5796,1.86577,0.63127,0.67643,0.72156,0.40187,1.52798,1.47308,1.63479,0.000759318,0.000759318,0.000759318
57,278.012,1.47017,1.54702,1.8297,0.59603,0.67317,0.65807,0.35727,1.5833,1.65027,1.70516,0.000742815,0.000742815,0.000742815
58,282.789,1.48788,1.57478,1.86329,0.6,0.66628,0.66986,0.3805,1.51737,1.5655,1.60983,0.000726312,0.000726312,0.000726312
59,287.511,1.48639,1.54452,1.87395,0.58394,0.72358,0.69356,0.38087,1.50376,1.5298,1.6375,0.000709809,0.000709809,0.000709809
60,292.314,1.45696,1.48049,1.78352,0.62441,0.6976,0.72326,0.39598,1.49204,1.57932,1.60889,0.000693305,0.000693305,0.000693305
61,297.134,1.46648,1.49949,1.81087,0.67696,0.67259,0.71411,0.3913,1.45943,1.54997,1.59046,0.000676802,0.000676802,0.000676802
62,302.062,1.43197,1.47655,1.8001,0.66035,0.77956,0.76882,0.45635,1.4828,1.33425,1.61622,0.000660299,0.000660299,0.000660299
63,306.874,1.43688,1.49679,1.82994,0.68808,0.70774,0.74852,0.42545,1.50713,1.39368,1.61895,0.000643795,0.000643795,0.000643795
64,311.822,1.42224,1.48171,1.78082,0.64919,0.7728,0.7543,0.42918,1.42917,1.3562,1.56267,0.000627292,0.000627292,0.000627292
65,316.684,1.40146,1.44057,1.78515,0.59752,0.74907,0.71712,0.43543,1.46177,1.36292,1.60401,0.000610789,0.000610789,0.000610789
66,321.482,1.39104,1.4305,1.78149,0.6673,0.70626,0.72943,0.42736,1.4628,1.41703,1.59838,0.000594286,0.000594286,0.000594286
67,326.481,1.38841,1.42567,1.77773,0.6732,0.66689,0.74096,0.4384,1.43468,1.4597,1.56031,0.000577782,0.000577782,0.000577782
68,331.218,1.3616,1.39907,1.72121,0.68092,0.72813,0.7618,0.46253,1.41096,1.33791,1.54479,0.000561279,0.000561279,0.000561279
69,335.941,1.37229,1.41316,1.74783,0.70539,0.7485,0.78805,0.4671,1.42182,1.3341,1.54363,0.000544776,0.000544776,0.000544776
70,340.747,1.42376,1.43079,1.78284,0.71705,0.78051,0.78589,0.46728,1.4623,1.38147,1.56534,0.000528272,0.000528272,0.000528272
71,345.428,1.33576,1.37313,1.71323,0.58789,0.81893,0.78429,0.48157,1.44799,1.33917,1.56599,0.000511769,0.000511769,0.000511769
72,350.219,1.35552,1.38677,1.72243,0.67176,0.78499,0.781,0.44949,1.43776,1.43118,1.53468,0.000495266,0.000495266,0.000495266
73,354.851,1.30948,1.30507,1.69611,0.68944,0.70883,0.74894,0.43217,1.40583,1.36459,1.53292,0.000478762,0.000478762,0.000478762
74,359.591,1.32441,1.38409,1.73654,0.68646,0.72932,0.77115,0.46998,1.40435,1.34803,1.55417,0.000462259,0.000462259,0.000462259
